😀	grinning	grinning,grinning_face
👮🏼‍♂️	man_police_officer_tone2	man_police_officer_tone2,man_police_officer_medium_light_skin_tone
👮🏽‍♂️	man_police_officer_tone3	man_police_officer_tone3,man_police_officer_medium_skin_tone
👮🏾‍♂️	man_police_officer_tone4	man_police_officer_tone4,man_police_officer_medium_dark_skin_tone
👮🏿‍♂️	man_police_officer_tone5	man_police_officer_tone5,man_police_officer_dark_skin_tone
👮‍♀️	woman_police_officer	woman_police_officer
👮🏻‍♀️	woman_police_officer_tone1	woman_police_officer_tone1,woman_police_officer_light_skin_tone
👮🏼‍♀️	woman_police_officer_tone2	woman_police_officer_tone2,woman_police_officer_medium_light_skin_tone
👮🏽‍♀️	woman_police_officer_tone3	woman_police_officer_tone3,woman_police_officer_medium_skin_tone
👮🏾‍♀️	woman_police_officer_tone4	woman_police_officer_tone4,woman_police_officer_medium_dark_skin_tone
👮🏿‍♀️	woman_police_officer_tone5	woman_police_officer_tone5,woman_police_officer_dark_skin_tone
🕵️	detective	detective,spy,sleuth_or_spy
🕵🏻	detective_tone1	detective_tone1,spy_tone1,sleuth_or_spy_tone1
🕵🏼	detective_tone2	detective_tone2,spy_tone2,sleuth_or_spy_tone2
🕵🏽	detective_tone3	detective_tone3,spy_tone3,sleuth_or_spy_tone3
🕵🏾	detective_tone4	detective_tone4,spy_tone4,sleuth_or_spy_tone4
🕵🏿	detective_tone5	detective_tone5,spy_tone5,sleuth_or_spy_tone5
🕵️‍♂️	man_detective	man_detective
🕵🏻‍♂️	man_detective_tone1	man_detective_tone1,man_detective_light_skin_tone
🕵🏼‍♂️	man_detective_tone2	man_detective_tone2,man_detective_medium_light_skin_tone
🕵🏽‍♂️	man_detective_tone3	man_detective_tone3,man_detective_medium_skin_tone
🕵🏾‍♂️	man_detective_tone4	man_detective_tone4,man_detective_medium_dark_skin_tone
🕵🏿‍♂️	man_detective_tone5	man_detective_tone5,man_detective_dark_skin_tone
🕵️‍♀️	woman_detective	woman_detective
🕵🏻‍♀️	woman_detective_tone1	woman_detective_tone1,woman_detective_light_skin_tone
🕵🏼‍♀️	woman_detective_tone2	woman_detective_tone2,woman_detective_medium_light_skin_tone
🕵🏽‍♀️	woman_detective_tone3	woman_detective_tone3,woman_detective_medium_skin_tone
🕵🏾‍♀️	woman_detective_tone4	woman_detective_tone4,woman_detective_medium_dark_skin_tone
🕵🏿‍♀️	woman_detective_tone5	woman_detective_tone5,woman_detective_dark_skin_tone
💂	guard	guard,guardsman
💂🏻	guard_tone1	guard_tone1,guardsman_tone1
💂🏼	guard_tone2	guard_tone2,guardsman_tone2
💂🏽	guard_tone3	guard_tone3,guardsman_tone3
💂🏾	guard_tone4	guard_tone4,guardsman_tone4
💂🏿	guard_tone5	guard_tone5,guardsman_tone5
💂‍♂️	man_guard	man_guard
💂🏻‍♂️	man_guard_tone1	man_guard_tone1,man_guard_light_skin_tone
💂🏼‍♂️	man_guard_tone2	man_guard_tone2,man_guard_medium_light_skin_tone
💂🏽‍♂️	man_guard_tone3	man_guard_tone3,man_guard_medium_skin_tone
💂🏾‍♂️	man_guard_tone4	man_guard_tone4,man_guard_medium_dark_skin_tone
💂🏿‍♂️	man_guard_tone5	man_guard_tone5,man_guard_dark_skin_tone
💂‍♀️	woman_guard	woman_guard
💂🏻‍♀️	woman_guard_tone1	woman_guard_tone1,woman_guard_light_skin_tone
💂🏼‍♀️	woman_guard_tone2	woman_guard_tone2,woman_guard_medium_light_skin_tone
💂🏽‍♀️	woman_guard_tone3	woman_guard_tone3,woman_guard_medium_skin_tone
💂🏾‍♀️	woman_guard_tone4	woman_guard_tone4,woman_guard_medium_dark_skin_tone
💂🏿‍♀️	woman_guard_tone5	woman_guard_tone5,woman_guard_dark_skin_tone
🥷	ninja	ninja
🥷🏻	ninja_tone1	ninja_tone1,ninja_light_skin_tone
🥷🏼	ninja_tone2	ninja_tone2,ninja_medium_light_skin_tone
🥷🏽	ninja_tone3	ninja_tone3,ninja_medium_skin_tone
🥷🏾	ninja_tone4	ninja_tone4,ninja_medium_dark_skin_tone
🥷🏿	ninja_tone5	ninja_tone5,ninja_dark_skin_tone
👷	construction_worker	construction_worker
👷🏻	construction_worker_tone1	construction_worker_tone1
👷🏼	construction_worker_tone2	construction_worker_tone2
👷🏽	construction_worker_tone3	construction_worker_tone3
👷🏾	construction_worker_tone4	construction_worker_tone4
👷🏿	construction_worker_tone5	construction_worker_tone5
👷‍♂️	man_construction_worker	man_construction_worker
👷🏻‍♂️	man_construction_worker_tone1	man_construction_worker_tone1,man_construction_worker_light_skin_tone
👷🏼‍♂️	man_construction_worker_tone2	man_construction_worker_tone2,man_construction_worker_medium_light_skin_tone
👷🏽‍♂️	man_construction_worker_tone3	man_construction_worker_tone3,man_construction_worker_medium_skin_tone
👷🏾‍♂️	man_construction_worker_tone4	man_construction_worker_tone4,man_construction_worker_medium_dark_skin_tone
👷🏿‍♂️	man_construction_worker_tone5	man_construction_worker_tone5,man_construction_worker_dark_skin_tone
👷‍♀️	woman_construction_worker	woman_construction_worker
👷🏻‍♀️	woman_construction_worker_tone1	woman_construction_worker_tone1,woman_construction_worker_light_skin_tone
👷🏼‍♀️	woman_construction_worker_tone2	woman_construction_worker_tone2,woman_construction_worker_medium_light_skin_tone
👷🏽‍♀️	woman_construction_worker_tone3	woman_construction_worker_tone3,woman_construction_worker_medium_skin_tone
👷🏾‍♀️	woman_construction_worker_tone4	woman_construction_worker_tone4,woman_construction_worker_medium_dark_skin_tone
👷🏿‍♀️	woman_construction_worker_tone5	woman_construction_worker_tone5,woman_construction_worker_dark_skin_tone
🫅	person_with_crown	person_with_crown
🫅🏻	person_with_crown_tone1	person_with_crown_tone1,person_with_crown_light_skin_tone
🫅🏼	person_with_crown_tone2	person_with_crown_tone2,person_with_crown_medium_light_skin_tone
🫅🏽	person_with_crown_tone3	person_with_crown_tone3,person_with_crown_medium_skin_tone
🫅🏾	person_with_crown_tone4	person_with_crown_tone4,person_with_crown_medium_dark_skin_tone
🫅🏿	person_with_crown_tone5	person_with_crown_tone5,person_with_crown_dark_skin_tone
🤴	prince	prince
🤴🏻	prince_tone1	prince_tone1
🤴🏼	prince_tone2	prince_tone2
🤴🏽	prince_tone3	prince_tone3
🤴🏾	prince_tone4	prince_tone4
🤴🏿	prince_tone5	prince_tone5
👸	princess	princess
👸🏻	princess_tone1	princess_tone1
👸🏼	princess_tone2	princess_tone2
👸🏽	princess_tone3	princess_tone3
👸🏾	princess_tone4	princess_tone4
👸🏿	princess_tone5	princess_tone5
👳	person_wearing_turban	person_wearing_turban,man_with_turban
👳🏻	person_wearing_turban_tone1	person_wearing_turban_tone1,man_with_turban_tone1
👳🏼	person_wearing_turban_tone2	person_wearing_turban_tone2,man_with_turban_tone2
👳🏽	person_wearing_turban_tone3	person_wearing_turban_tone3,man_with_turban_tone3
👳🏾	person_wearing_turban_tone4	person_wearing_turban_tone4,man_with_turban_tone4
👳🏿	person_wearing_turban_tone5	person_wearing_turban_tone5,man_with_turban_tone5
👳‍♂️	man_wearing_turban	man_wearing_turban
👳🏻‍♂️	man_wearing_turban_tone1	man_wearing_turban_tone1,man_wearing_turban_light_skin_tone
👳🏼‍♂️	man_wearing_turban_tone2	man_wearing_turban_tone2,man_wearing_turban_medium_light_skin_tone
👳🏽‍♂️	man_wearing_turban_tone3	man_wearing_turban_tone3,man_wearing_turban_medium_skin_tone
👳🏾‍♂️	man_wearing_turban_tone4	man_wearing_turban_tone4,man_wearing_turban_medium_dark_skin_tone
👳🏿‍♂️	man_wearing_turban_tone5	man_wearing_turban_tone5,man_wearing_turban_dark_skin_tone
👳‍♀️	woman_wearing_turban	woman_wearing_turban
👳🏻‍♀️	woman_wearing_turban_tone1	woman_wearing_turban_tone1,woman_wearing_turban_light_skin_tone
👳🏼‍♀️	woman_wearing_turban_tone2	woman_wearing_turban_tone2,woman_wearing_turban_medium_light_skin_tone
👳🏽‍♀️	woman_wearing_turban_tone3	woman_wearing_turban_tone3,woman_wearing_turban_medium_skin_tone
👳🏾‍♀️	woman_wearing_turban_tone4	woman_wearing_turban_tone4,woman_wearing_turban_medium_dark_skin_tone
👳🏿‍♀️	woman_wearing_turban_tone5	woman_wearing_turban_tone5,woman_wearing_turban_dark_skin_tone
👲	man_with_chinese_cap	man_with_chinese_cap,man_with_gua_pi_mao
👲🏻	man_with_chinese_cap_tone1	man_with_chinese_cap_tone1,man_with_gua_pi_mao_tone1
👲🏼	man_with_chinese_cap_tone2	man_with_chinese_cap_tone2,man_with_gua_pi_mao_tone2
👲🏽	man_with_chinese_cap_tone3	man_with_chinese_cap_tone3,man_with_gua_pi_mao_tone3
👲🏾	man_with_chinese_cap_tone4	man_with_chinese_cap_tone4,man_with_gua_pi_mao_tone4
👲🏿	man_with_chinese_cap_tone5	man_with_chinese_cap_tone5,man_with_gua_pi_mao_tone5
🧕	woman_with_headscarf	woman_with_headscarf
🧕🏻	woman_with_headscarf_tone1	woman_with_headscarf_tone1,woman_with_headscarf_light_skin_tone
🧕🏼	woman_with_headscarf_tone2	woman_with_headscarf_tone2,woman_with_headscarf_medium_light_skin_tone
🧕🏽	woman_with_headscarf_tone3	woman_with_headscarf_tone3,woman_with_headscarf_medium_skin_tone
🧕🏾	woman_with_headscarf_tone4	woman_with_headscarf_tone4,woman_with_headscarf_medium_dark_skin_tone
🧕🏿	woman_with_headscarf_tone5	woman_with_headscarf_tone5,woman_with_headscarf_dark_skin_tone
🤵	person_in_tuxedo	person_in_tuxedo
🤵🏻	person_in_tuxedo_tone1	person_in_tuxedo_tone1,tuxedo_tone1
🤵🏼	person_in_tuxedo_tone2	person_in_tuxedo_tone2,tuxedo_tone2
🤵🏽	person_in_tuxedo_tone3	person_in_tuxedo_tone3,tuxedo_tone3
🤵🏾	person_in_tuxedo_tone4	person_in_tuxedo_tone4,tuxedo_tone4
🤵🏿	person_in_tuxedo_tone5	person_in_tuxedo_tone5,tuxedo_tone5
🤵‍♂️	man_in_tuxedo	man_in_tuxedo
🤵🏻‍♂️	man_in_tuxedo_tone1	man_in_tuxedo_tone1,man_in_tuxedo_light_skin_tone
🤵🏼‍♂️	man_in_tuxedo_tone2	man_in_tuxedo_tone2,man_in_tuxedo_medium_light_skin_tone
🤵🏽‍♂️	man_in_tuxedo_tone3	man_in_tuxedo_tone3,man_in_tuxedo_medium_skin_tone
🤵🏾‍♂️	man_in_tuxedo_tone4	man_in_tuxedo_tone4,man_in_tuxedo_medium_dark_skin_tone
🤵🏿‍♂️	man_in_tuxedo_tone5	man_in_tuxedo_tone5,man_in_tuxedo_dark_skin_tone
🤵‍♀️	woman_in_tuxedo	woman_in_tuxedo
🤵🏻‍♀️	woman_in_tuxedo_tone1	woman_in_tuxedo_tone1,woman_in_tuxedo_light_skin_tone
🤵🏼‍♀️	woman_in_tuxedo_tone2	woman_in_tuxedo_tone2,woman_in_tuxedo_medium_light_skin_tone
🤵🏽‍♀️	woman_in_tuxedo_tone3	woman_in_tuxedo_tone3,woman_in_tuxedo_medium_skin_tone
🤵🏾‍♀️	woman_in_tuxedo_tone4	woman_in_tuxedo_tone4,woman_in_tuxedo_medium_dark_skin_tone
🤵🏿‍♀️	woman_in_tuxedo_tone5	woman_in_tuxedo_tone5,woman_in_tuxedo_dark_skin_tone
👰	person_with_veil	person_with_veil
👰🏻	person_with_veil_tone1	person_with_veil_tone1
👰🏼	person_with_veil_tone2	person_with_veil_tone2
👰🏽	person_with_veil_tone3	person_with_veil_tone3
👰🏾	person_with_veil_tone4	person_with_veil_tone4
👰🏿	person_with_veil_tone5	person_with_veil_tone5
👰‍♂️	man_with_veil	man_with_veil
👰🏻‍♂️	man_with_veil_tone1	man_with_veil_tone1,man_with_veil_light_skin_tone
👰🏼‍♂️	man_with_veil_tone2	man_with_veil_tone2,man_with_veil_medium_light_skin_tone
👰🏽‍♂️	man_with_veil_tone3	man_with_veil_tone3,man_with_veil_medium_skin_tone
👰🏾‍♂️	man_with_veil_tone4	man_with_veil_tone4,man_with_veil_medium_dark_skin_tone
👰🏿‍♂️	man_with_veil_tone5	man_with_veil_tone5,man_with_veil_dark_skin_tone
👰‍♀️	woman_with_veil	woman_with_veil,bride_with_veil
👰🏻‍♀️	woman_with_veil_tone1	woman_with_veil_tone1,woman_with_veil_light_skin_tone
👰🏼‍♀️	woman_with_veil_tone2	woman_with_veil_tone2,woman_with_veil_medium_light_skin_tone
👰🏽‍♀️	woman_with_veil_tone3	woman_with_veil_tone3,woman_with_veil_medium_skin_tone
👰🏾‍♀️	woman_with_veil_tone4	woman_with_veil_tone4,woman_with_veil_medium_dark_skin_tone
👰🏿‍♀️	woman_with_veil_tone5	woman_with_veil_tone5,woman_with_veil_dark_skin_tone
🤰	pregnant_woman	pregnant_woman,expecting_woman
🤰🏻	pregnant_woman_tone1	pregnant_woman_tone1,expecting_woman_tone1
🤰🏼	pregnant_woman_tone2	pregnant_woman_tone2,expecting_woman_tone2
🤰🏽	pregnant_woman_tone3	pregnant_woman_tone3,expecting_woman_tone3
🤰🏾	pregnant_woman_tone4	pregnant_woman_tone4,expecting_woman_tone4
🤰🏿	pregnant_woman_tone5	pregnant_woman_tone5,expecting_woman_tone5
🫃	pregnant_man	pregnant_man
🫃🏻	pregnant_man_tone1	pregnant_man_tone1,pregnant_man_light_skin_tone
🫃🏼	pregnant_man_tone2	pregnant_man_tone2,pregnant_man_medium_light_skin_tone
🫃🏽	pregnant_man_tone3	pregnant_man_tone3,pregnant_man_medium_skin_tone
🫃🏾	pregnant_man_tone4	pregnant_man_tone4,pregnant_man_medium_dark_skin_tone
🫃🏿	pregnant_man_tone5	pregnant_man_tone5,pregnant_man_dark_skin_tone
🫄	pregnant_person	pregnant_person
🫄🏻	pregnant_person_tone1	pregnant_person_tone1,pregnant_person_light_skin_tone
🫄🏼	pregnant_person_tone2	pregnant_person_tone2,pregnant_person_medium_light_skin_tone
🫄🏽	pregnant_person_tone3	pregnant_person_tone3,pregnant_person_medium_skin_tone
🫄🏾	pregnant_person_tone4	pregnant_person_tone4,pregnant_person_medium_dark_skin_tone
🫄🏿	pregnant_person_tone5	pregnant_person_tone5,pregnant_person_dark_skin_tone
🤱	breast_feeding	breast_feeding
🤱🏻	breast_feeding_tone1	breast_feeding_tone1,breast_feeding_light_skin_tone
🤱🏼	breast_feeding_tone2	breast_feeding_tone2,breast_feeding_medium_light_skin_tone
🤱🏽	breast_feeding_tone3	breast_feeding_tone3,breast_feeding_medium_skin_tone
🤱🏾	breast_feeding_tone4	breast_feeding_tone4,breast_feeding_medium_dark_skin_tone
🤱🏿	breast_feeding_tone5	breast_feeding_tone5,breast_feeding_dark_skin_tone
👩‍🍼	woman_feeding_baby	woman_feeding_baby
👩🏻‍🍼	woman_feeding_baby_tone1	woman_feeding_baby_tone1,woman_feeding_baby_light_skin_tone
👩🏼‍🍼	woman_feeding_baby_tone2	woman_feeding_baby_tone2,woman_feeding_baby_medium_light_skin_tone
👩🏽‍🍼	woman_feeding_baby_tone3	woman_feeding_baby_tone3,woman_feeding_baby_medium_skin_tone
👩🏾‍🍼	woman_feeding_baby_tone4	woman_feeding_baby_tone4,woman_feeding_baby_medium_dark_skin_tone
👩🏿‍🍼	woman_feeding_baby_tone5	woman_feeding_baby_tone5,woman_feeding_baby_dark_skin_tone
👨‍🍼	man_feeding_baby	man_feeding_baby
👨🏻‍🍼	man_feeding_baby_tone1	man_feeding_baby_tone1,man_feeding_baby_light_skin_tone
👨🏼‍🍼	man_feeding_baby_tone2	man_feeding_baby_tone2,man_feeding_baby_medium_light_skin_tone
👨🏽‍🍼	man_feeding_baby_tone3	man_feeding_baby_tone3,man_feeding_baby_medium_skin_tone
👨🏾‍🍼	man_feeding_baby_tone4	man_feeding_baby_tone4,man_feeding_baby_medium_dark_skin_tone
👨🏿‍🍼	man_feeding_baby_tone5	man_feeding_baby_tone5,man_feeding_baby_dark_skin_tone
🧑‍🍼	person_feeding_baby	person_feeding_baby
🧑🏻‍🍼	person_feeding_baby_tone1	person_feeding_baby_tone1,person_feeding_baby_light_skin_tone
🧑🏼‍🍼	person_feeding_baby_tone2	person_feeding_baby_tone2,person_feeding_baby_medium_light_skin_tone
🧑🏽‍🍼	person_feeding_baby_tone3	person_feeding_baby_tone3,person_feeding_baby_medium_skin_tone
🧑🏾‍🍼	person_feeding_baby_tone4	person_feeding_baby_tone4,person_feeding_baby_medium_dark_skin_tone
🧑🏿‍🍼	person_feeding_baby_tone5	person_feeding_baby_tone5,person_feeding_baby_dark_skin_tone
👼	angel	angel,baby_angel
👼🏻	angel_tone1	angel_tone1
👼🏼	angel_tone2	angel_tone2
👼🏽	angel_tone3	angel_tone3
👼🏾	angel_tone4	angel_tone4
👼🏿	angel_tone5	angel_tone5
🎅	santa	santa,santa_claus
🎅🏻	santa_tone1	santa_tone1
🎅🏼	santa_tone2	santa_tone2
🎅🏽	santa_tone3	santa_tone3
🎅🏾	santa_tone4	santa_tone4
🎅🏿	santa_tone5	santa_tone5
🤶	mrs_claus	mrs_claus,mother_christmas
🤶🏻	mrs_claus_tone1	mrs_claus_tone1,mother_christmas_tone1
🤶🏼	mrs_claus_tone2	mrs_claus_tone2,mother_christmas_tone2
🤶🏽	mrs_claus_tone3	mrs_claus_tone3,mother_christmas_tone3
🤶🏾	mrs_claus_tone4	mrs_claus_tone4,mother_christmas_tone4
🤶🏿	mrs_claus_tone5	mrs_claus_tone5,mother_christmas_tone5
🧑‍🎄	mx_claus	mx_claus
🧑🏻‍🎄	mx_claus_tone1	mx_claus_tone1,mx_claus_light_skin_tone
🧑🏼‍🎄	mx_claus_tone2	mx_claus_tone2,mx_claus_medium_light_skin_tone
🧑🏽‍🎄	mx_claus_tone3	mx_claus_tone3,mx_claus_medium_skin_tone
🧑🏾‍🎄	mx_claus_tone4	mx_claus_tone4,mx_claus_medium_dark_skin_tone
🧑🏿‍🎄	mx_claus_tone5	mx_claus_tone5,mx_claus_dark_skin_tone
🦸	superhero	superhero
🦸🏻	superhero_tone1	superhero_tone1,superhero_light_skin_tone
🦸🏼	superhero_tone2	superhero_tone2,superhero_medium_light_skin_tone
🦸🏽	superhero_tone3	superhero_tone3,superhero_medium_skin_tone
🦸🏾	superhero_tone4	superhero_tone4,superhero_medium_dark_skin_tone
🦸🏿	superhero_tone5	superhero_tone5,superhero_dark_skin_tone
🦸‍♂️	man_superhero	man_superhero
🦸🏻‍♂️	man_superhero_tone1	man_superhero_tone1,man_superhero_light_skin_tone
🦸🏼‍♂️	man_superhero_tone2	man_superhero_tone2,man_superhero_medium_light_skin_tone
🦸🏽‍♂️	man_superhero_tone3	man_superhero_tone3,man_superhero_medium_skin_tone
🦸🏾‍♂️	man_superhero_tone4	man_superhero_tone4,man_superhero_medium_dark_skin_tone
🦸🏿‍♂️	man_superhero_tone5	man_superhero_tone5,man_superhero_dark_skin_tone
🦸‍♀️	woman_superhero	woman_superhero
🦸🏻‍♀️	woman_superhero_tone1	woman_superhero_tone1,woman_superhero_light_skin_tone
🦸🏼‍♀️	woman_superhero_tone2	woman_superhero_tone2,woman_superhero_medium_light_skin_tone
🦸🏽‍♀️	woman_superhero_tone3	woman_superhero_tone3,woman_superhero_medium_skin_tone
🦸🏾‍♀️	woman_superhero_tone4	woman_superhero_tone4,woman_superhero_medium_dark_skin_tone
🦸🏿‍♀️	woman_superhero_tone5	woman_superhero_tone5,woman_superhero_dark_skin_tone
🦹	supervillain	supervillain
🦹🏻	supervillain_tone1	supervillain_tone1,supervillain_light_skin_tone
🦹🏼	supervillain_tone2	supervillain_tone2,supervillain_medium_light_skin_tone
🦹🏽	supervillain_tone3	supervillain_tone3,supervillain_medium_skin_tone
🦹🏾	supervillain_tone4	supervillain_tone4,supervillain_medium_dark_skin_tone
🦹🏿	supervillain_tone5	supervillain_tone5,supervillain_dark_skin_tone
🦹‍♂️	man_supervillain	man_supervillain
🦹🏻‍♂️	man_supervillain_tone1	man_supervillain_tone1,man_supervillain_light_skin_tone
🦹🏼‍♂️	man_supervillain_tone2	man_supervillain_tone2,man_supervillain_medium_light_skin_tone
🦹🏽‍♂️	man_supervillain_tone3	man_supervillain_tone3,man_supervillain_medium_skin_tone
🦹🏾‍♂️	man_supervillain_tone4	man_supervillain_tone4,man_supervillain_medium_dark_skin_tone
🦹🏿‍♂️	man_supervillain_tone5	man_supervillain_tone5,man_supervillain_dark_skin_tone
🦹‍♀️	woman_supervillain	woman_supervillain
🦹🏻‍♀️	woman_supervillain_tone1	woman_supervillain_tone1,woman_supervillain_light_skin_tone
